Orthogroup	Enteroscipio	Lactococcus	equolifaciens	isoflavoniconvertens
OG0000000	BAK43440.1, BAK43630.1, BAK43856.1, BAK44025.1, BAK44242.1, BAK45327.1, BAK45944.1	QPR48215.1, QPR48426.1, QPR48534.1, QPR48803.1, QPR48807.1, QPR48870.1, QPR49069.1, QPR49403.1, QPR49455.1, QPR49727.1, QPR49891.1	RNL37464.1, RNL37550.1, RNL37682.1, RNL37832.1, RNL38853.1, RNL39563.1, RNL39826.1, RNL40236.1, RNL40615.1, RNL40623.1, RNL40667.1, RNL40828.1	WP_281667947.1, WP_281668765.1, WP_281668899.1, WP_281669027.1
OG0000001	BAK43401.1, BAK43501.1, BAK43533.1, BAK43561.1, BAK43620.1, BAK43632.1, BAK43785.1, BAK43787.1, BAK43792.1, BAK43939.1, BAK43940.1, BAK44013.1, BAK44017.1, BAK44043.1, BAK44262.1, BAK44850.1, BAK44851.1, BAK44997.1, BAK45224.1, BAK45287.1, BAK45288.1, BAK45324.1, BAK45353.1, BAK45377.1, BAK45413.1, BAK45475.1, BAK45493.1, BAK45526.1, BAK45538.1, BAK45706.1, BAK45747.1, BAK45819.1			
OG0000002	BAK43532.1, BAK43622.1, BAK43791.1, BAK43991.1, BAK45240.1, BAK45378.1, BAK45379.1, BAK45467.1	QPR48155.1	RNL40328.1, RNL40526.1, RNL40818.1	WP_281667800.1, WP_281667812.1, WP_281667820.1, WP_281668088.1, WP_281668185.1, WP_281668191.1, WP_281668235.1, WP_281668256.1, WP_281668295.1, WP_281668305.1, WP_281668307.1, WP_281668507.1, WP_281668510.1, WP_281668540.1, WP_281668623.1, WP_281668766.1, WP_281668794.1, WP_281668862.1, WP_281669129.1
OG0000003	BAK43506.1, BAK44493.1, BAK44758.1, BAK45610.1, BAK45696.1		RNL37654.1, RNL37829.1, RNL37830.1, RNL38067.1, RNL38070.1, RNL38241.1, RNL38791.1, RNL39467.1, RNL40218.1, RNL40246.1, RNL40358.1, RNL40454.1, RNL40464.1, RNL40466.1, RNL40787.1, RNL40793.1, RNL40812.1, RNL40837.1, RNL40965.1, RNL41858.1, RNL41941.1, RNL42034.1, RNL42142.1	WP_281668758.1
OG0000004	BAK43788.1, BAK43824.1, BAK45051.1, BAK45286.1, BAK45372.1, BAK45399.1, BAK45460.1, BAK45474.1, BAK45700.1		RNL37663.1, RNL37838.1, RNL37993.1, RNL38071.1, RNL38228.1, RNL38237.1, RNL38242.1, RNL39500.1, RNL40217.1, RNL40351.1, RNL40357.1, RNL40453.1, RNL40465.1, RNL40796.1, RNL40847.1, RNL40867.1, RNL40872.1, RNL41845.1	WP_281668193.1
OG0000005	BAK44193.1, BAK45418.1, BAK45540.1, BAK45612.1, BAK45613.1		RNL38758.1, RNL39554.1, RNL40497.1, RNL40499.1, RNL40791.1, RNL41912.1, RNL42059.1	WP_114614819.1, WP_114615690.1, WP_123219937.1, WP_220150936.1, WP_281668056.1, WP_281668109.1, WP_281668250.1, WP_281668343.1, WP_281668647.1, WP_281668776.1
OG0000006	BAK45541.1, BAK45546.1, BAK45611.1		RNL37800.1, RNL38757.1, RNL39555.1, RNL39901.1, RNL40579.1, RNL40792.1, RNL40808.1, RNL41911.1, RNL42141.1, RNL42170.1	WP_281667886.1, WP_281668049.1, WP_281668071.1, WP_281668096.1, WP_281668342.1, WP_281668351.1, WP_281668759.1
OG0000007		QPR48036.1, QPR48049.1, QPR48128.1, QPR48151.1, QPR48344.1, QPR48433.1, QPR48576.1, QPR48618.1, QPR48680.1, QPR48816.1, QPR48873.1, QPR48901.1, QPR49103.1, QPR49289.1, QPR49291.1, QPR49698.1, QPR49880.1		
OG0000008	BAK43370.1, BAK43507.1, BAK43509.1, BAK43536.1, BAK43665.1, BAK43952.1, BAK44302.1, BAK44756.1, BAK45289.1, BAK45525.1, BAK45634.1, BAK45697.1, BAK45704.1, BAK45872.1		RNL39406.1	
OG0000009	BAK43402.1, BAK43500.1, BAK43564.1, BAK43569.1, BAK43672.1, BAK43937.1, BAK44849.1, BAK45030.1, BAK45147.1, BAK45381.1, BAK45667.1, BAK45818.1, BAK45868.1		RNL40361.1, RNL42035.1	
OG0000010	BAK43438.1, BAK43853.1	QPR48345.1, QPR48547.1	RNL39163.1, RNL39537.1, RNL40330.1, RNL41991.1	WP_281667943.1, WP_281668265.1, WP_281668400.1, WP_281668417.1, WP_281668542.1, WP_281668690.1, WP_281668897.1
OG0000011	BAK43443.1, BAK43798.1, BAK43835.1, BAK43897.1, BAK44774.1, BAK45415.1		RNL39072.1, RNL41525.1, RNL42056.1, RNL42172.1	WP_123218996.1, WP_123219739.1, WP_281667884.1, WP_281668053.1, WP_281668113.1
OG0000012			RNL40327.1	WP_281667819.1, WP_281668187.1, WP_281668293.1, WP_281668306.1, WP_281668349.1, WP_281668508.1, WP_281668511.1, WP_281668555.1, WP_281668624.1, WP_281668767.1, WP_281668795.1, WP_281669034.1, WP_281669068.1, WP_281669130.1
OG0000013	BAK43432.1, BAK43795.1, BAK43900.1, BAK44015.1, BAK44295.1, BAK44480.1, BAK44867.1, BAK44953.1, BAK44988.1, BAK45322.1, BAK45363.1, BAK45365.1, BAK45720.1, BAK45749.1			
OG0000014	BAK43476.1, BAK43558.1, BAK43611.1, BAK43820.1	QPR48650.1, QPR48734.1, QPR48809.1, QPR48963.1	RNL38031.1, RNL40338.1, RNL40515.1	WP_281667804.1, WP_281668639.1, WP_281668887.1
OG0000015			RNL37784.1, RNL39900.1, RNL40470.1, RNL40580.1, RNL40583.1, RNL40807.1, RNL40820.1, RNL41939.1, RNL42140.1, RNL42169.1	WP_123218641.1, WP_281667887.1, WP_281668048.1, WP_281668352.1
OG0000016	BAK43313.1, BAK43490.1, BAK43552.1, BAK43883.1, BAK43964.1, BAK44497.1, BAK44504.1, BAK44924.1, BAK45732.1, BAK45734.1, BAK45890.1	QPR49827.1	RNL38745.1	
OG0000017	BAK43472.1, BAK43817.1, BAK44815.1, BAK45018.1, BAK45283.1	QPR48446.1, QPR48793.1, QPR49459.1, QPR49510.1, QPR49670.1, QPR49782.1	RNL40654.1	WP_281669060.1
OG0000018	BAK43526.1, BAK43571.1, BAK43587.1, BAK43748.1, BAK43955.1, BAK44949.1, BAK44990.1, BAK45094.1, BAK45357.1, BAK45811.1, BAK45812.1	QPR49674.1	RNL41990.1	
OG0000019	BAK43902.1, BAK44227.1, BAK44804.1, BAK45815.1, BAK45874.1	QPR48923.1	RNL37321.1, RNL39849.1, RNL40287.1, RNL40288.1	WP_281668662.1, WP_281668712.1, WP_281668713.1
