Orthogroup	GCA_000008865.2	MG1655	Wolbachia	fragilis
OG0000000				QRP87462.1, QRP87480.1, QRP87486.1, QRP87511.1, QRP87542.1, QRP87636.1, QRP87665.1, QRP87669.1, QRP87676.1, QRP87713.1, QRP87766.1, QRP88004.1, QRP88058.1, QRP88069.1, QRP88077.1, QRP88132.1, QRP88141.1, QRP88177.1, QRP88463.1, QRP88484.1, QRP88495.1, QRP88613.1, QRP88616.1, QRP88620.1, QRP88746.1, QRP88769.1, QRP88791.1, QRP88909.1, QRP88936.1, QRP88989.1, QRP89043.1, QRP89090.1, QRP89160.1, QRP89235.1, QRP89261.1, QRP89627.1, QRP89937.1, QRP90009.1, QRP90331.1, QRP90370.1, QRP90393.1, QRP90525.1, QRP90538.1, QRP90550.1, QRP90551.1, QRP90554.1, QRP90648.1, QRP90744.1, QRP90844.1, QRP90890.1, QRP91026.1, QRP91032.1, QRP91086.1, QRP91108.1, QRP91110.1, QRP91127.1, QRP91129.1, QRP91131.1, QRP91133.1, QRP91186.1, QRP91209.1, QRP91227.1, QRP91296.1, QRP91316.1, QRP91359.1, QRP91362.1, QRP91443.1, QRP91447.1, QRP91544.1
OG0000001				QRP87479.1, QRP87510.1, QRP87528.1, QRP87637.1, QRP87670.1, QRP87677.1, QRP87712.1, QRP87767.1, QRP88005.1, QRP88059.1, QRP88068.1, QRP88076.1, QRP88133.1, QRP88142.1, QRP88462.1, QRP88485.1, QRP88496.1, QRP88614.1, QRP88617.1, QRP88621.1, QRP88910.1, QRP88937.1, QRP88988.1, QRP89091.1, QRP89236.1, QRP89262.1, QRP89938.1, QRP90524.1, QRP90537.1, QRP90549.1, QRP90552.1, QRP90553.1, QRP90743.1, QRP91025.1, QRP91109.1, QRP91111.1, QRP91126.1, QRP91128.1, QRP91134.1, QRP91187.1, QRP91226.1, QRP91315.1
OG0000002			QQM01486.1	QRP87556.1, QRP87623.1, QRP87756.1, QRP87757.1, QRP88063.1, QRP88156.1, QRP88160.1, QRP88691.1, QRP88692.1, QRP88861.1, QRP88980.1, QRP89025.1, QRP89131.1, QRP89132.1, QRP89433.1, QRP89506.1, QRP89674.1, QRP89953.1, QRP90030.1, QRP90328.1, QRP90717.1, QRP90953.1, QRP91035.1, QRP91208.1, QRP91309.1, QRP91405.1
OG0000003		AAC77249.1		QRP87483.1, QRP87513.1, QRP87540.1, QRP87764.1, QRP88056.1, QRP88179.1, QRP88454.1, QRP88465.1, QRP88482.1, QRP88558.1, QRP88611.1, QRP88618.1, QRP88770.1, QRP89088.1, QRP89232.1, QRP89259.1, QRP90385.1, QRP90746.1, QRP90894.1, QRP91028.1, QRP91088.1, QRP91130.1, QRP91292.1, QRP91429.1, QRP91434.1
OG0000004	BAA31772.3, BAA31787.1, BAA31830.1, BAA31834.1, BAB34513.2, BAB34631.2, BAB34734.1, BAB34803.1, BAB35089.2, BAB35112.2, BAB35341.2, BAB35642.2, BAB35901.1, BAB36059.1, BAB36168.2, BAB36218.2, BAB36355.2, BAB36382.2, BAB36556.2, BAB36914.2, BAB37285.2, BAB37448.2, BAB37960.2, BAB38667.2			
OG0000005		AAC77248.1		QRP87482.1, QRP87512.1, QRP87541.1, QRP87765.1, QRP88057.1, QRP88178.1, QRP88455.1, QRP88464.1, QRP88483.1, QRP88556.1, QRP88612.1, QRP88619.1, QRP89089.1, QRP89234.1, QRP89260.1, QRP90386.1, QRP90745.1, QRP90845.1, QRP90891.1, QRP91027.1, QRP91033.1, QRP91087.1, QRP91293.1
OG0000006				QRP87604.1, QRP87606.1, QRP87609.1, QRP87610.1, QRP87922.1, QRP88037.1, QRP88103.1, QRP88109.1, QRP88120.1, QRP88378.1, QRP88379.1, QRP88380.1, QRP88391.1, QRP88394.1, QRP88951.1, QRP89424.1, QRP89500.1, QRP90579.1, QRP90762.1, QRP91172.1, QRP91451.1, QRP91473.1, QRP91485.1
OG0000007	BAA31788.1, BAA31814.1, BAA31817.1, BAB34512.1, BAB34632.1, BAB34804.1, BAB35088.1, BAB35113.1, BAB35342.1, BAB35643.1, BAB35900.1, BAB36060.2, BAB36167.1, BAB36217.1, BAB36356.1, BAB36381.1, BAB36555.1, BAB36913.1, BAB37286.1, BAB37447.1, BAB37958.2, BAB38666.1			
OG0000008	BAA31813.1, BAA31816.1	AAC73402.1, AAC73475.1, AAC73642.1, AAC74111.1, AAC75150.1	QQM00402.1, QQM00416.1, QQM00445.1, QQM00505.1, QQM00594.1, QQM00632.1, QQM00655.1, QQM00767.1, QQM00793.1, QQM00863.1, QQM01058.1, QQM01150.1	
OG0000009	BAB33938.1, BAB35287.1, BAB36306.1, BAB36307.1, BAB36755.1, BAB37817.1	AAC73564.1, AAC75136.1, AAC75137.1, AAC75523.1, AAC76298.1, AAC76539.1		QRP87833.1, QRP88874.1, QRP89193.1, QRP89230.1, QRP89729.1, QRP91349.1
